index,year,id,dum,urban_disposable_income,rural_disposable_income,urbanization_rate,total_pop,urban_pop,rural_pop,urban_total_income,rural_total_income,total_income,P1/P,Z1/Z,LN(N/O),P2/P,Z2/Z,LN(Q/R),theil_index
0,2010,1,Beijing,29072.9,13262.3,0.86,1961.9,1686.45,275.45,49029970.11,3653110.61,52683080.72,0.931 ,0.860 ,0.079 ,0.069 ,0.140 ,(0.705),0.025000873
1,2011,1,Beijing,32903.0,14735.7,0.862,2018.6,1740.03,278.57,57252312.38,4104876.79,61357189.17,0.933 ,0.862 ,0.079 ,0.067 ,0.138 ,(0.724),0.025514486
2,2012,1,Beijing,36468.8,16475.7,0.862,2069.3,1783.74,285.56,65050733.32,4704856.91,69755590.23,0.933 ,0.862 ,0.079 ,0.067 ,0.138 ,(0.716),0.025077936
3,2013,1,Beijing,40321.0,18337.5,0.863,2114.8,1825.07,289.73,73588744.24,5312879.87,78901624.11,0.933 ,0.863 ,0.078 ,0.067 ,0.137 ,(0.710),0.024575587
4,2014,1,Beijing,48531.8,18867.3,0.864,2151.6,1857.91,293.69,90167551.53,5541201.49,95708753.02,0.942 ,0.864 ,0.087 ,0.058 ,0.137 ,(0.858),0.032421275
5,2015,1,Beijing,52859.2,20568.7,0.865,2170.5,1877.48,293.02,99242222.96,6026989.05,105269212.02,0.943 ,0.865 ,0.086 ,0.057 ,0.135 ,(0.858),0.032029351
6,2016,1,Beijing,57275.3,22309.5,0.865,2172.9,1879.56,293.34,107652276.96,6544302.19,114196579.15,0.943 ,0.865 ,0.086 ,0.057 ,0.135 ,(0.857),0.031978186
7,2017,1,Beijing,62406.3,24240.5,0.865,2170.7,1877.66,293.04,117177532.43,7103545.2,124281077.63,0.943 ,0.865 ,0.086 ,0.057 ,0.135 ,(0.859),0.032120056
8,2018,1,Beijing,67989.9,26490.3,0.865,2154.2,1863.38,290.82,126691223.83,7703829.58,134395053.41,0.943 ,0.865 ,0.086 ,0.057 ,0.135 ,(0.857),0.031964111
9,2019,1,Beijing,73848.5,28928.4,0.866,2153.6,1865.02,288.58,137728752.23,8348227.1,146076979.33,0.943 ,0.866 ,0.085 ,0.057 ,0.134 ,(0.852),0.031462767
10,2010,2,Tianjin,24292.6,10074.9,0.796,1299.29,1033.59,265.7,25108471.71,2676949.34,27785421.05,0.904 ,0.796 ,0.127 ,0.096 ,0.205 ,(0.753),0.042683848
11,2011,2,Tianjin,26920.9,12321.2,0.805,1354.58,1090.44,264.14,29355542.74,3254559.96,32610102.7,0.900 ,0.805 ,0.112 ,0.100 ,0.195 ,(0.670),0.03376868
12,2012,2,Tianjin,29626.4,14025.5,0.816,1413.15,1152.42,260.73,34142169.21,3656814.97,37798984.18,0.903 ,0.816 ,0.102 ,0.097 ,0.185 ,(0.646),0.029861004
13,2013,2,Tianjin,32293.6,15841.0,0.82,17472.21,14328.96,3143.25,462733683.96,49792232.42,512525916.38,0.903 ,0.820 ,0.096 ,0.097 ,0.180 ,(0.616),0.026932144
14,2014,2,Tianjin,31506.0,17014.2,0.823,1516.81,1247.88,268.93,39315694.27,4575635.83,43891330.1,0.896 ,0.823 ,0.085 ,0.104 ,0.177 ,(0.531),0.020839614
15,2015,2,Tianjin,34101.3,18481.6,0.826,1546.95,1278.4,268.55,43595084.19,4963243.29,48558327.48,0.898 ,0.826 ,0.083 ,0.102 ,0.174 ,(0.530),0.020244091
16,2016,2,Tianjin,37109.6,20075.6,0.829,1562.12,1295.47,266.65,48074229.38,5353236.71,53427466.09,0.900 ,0.829 ,0.082 ,0.100 ,0.171 ,(0.533),0.020036927
17,2017,2,Tianjin,40277.5,21753.7,0.829,1556.87,1291.11,265.76,52002775.3,5781213.47,57783988.78,0.900 ,0.829 ,0.082 ,0.100 ,0.171 ,(0.534),0.02012775
18,2018,2,Tianjin,42976.3,23065.2,0.832,1559.6,1296.81,262.79,55731983.86,6061363.88,61793347.74,0.902 ,0.832 ,0.081 ,0.098 ,0.169 ,(0.541),0.020238171
19,2019,2,Tianjin,46118.9,24804.1,0.835,1561.83,1303.82,258.01,60130545.15,6399812.9,66530358.04,0.904 ,0.835 ,0.079 ,0.096 ,0.165 ,(0.541),0.019761923
20,2010,3,Taiyuan City,16432.95,7703.0,0.825,420.47,347.05,73.41,5703112.21,565514.2,6268626.41,0.910 ,0.825 ,0.097 ,0.090 ,0.175 ,(0.660),0.028992172
21,2011,3,Taiyuan City,19185.64,8995.0,0.833,423.54,353.02,70.52,6772841.32,634319.3,7407160.62,0.914 ,0.833 ,0.093 ,0.086 ,0.167 ,(0.665),0.027727793
22,2012,3,Taiyuan City,21507.48,10201.0,0.838,425.63,356.51,69.12,7667618.39,705125.76,8372744.15,0.916 ,0.838 ,0.089 ,0.084 ,0.162 ,(0.657),0.026421721
23,2013,3,Taiyuan City,23873.3,11425.0,0.841,427.77,359.84,67.93,8590547.34,776099.11,9366646.45,0.917 ,0.841 ,0.086 ,0.083 ,0.159 ,(0.651),0.025371095
24,2014,3,Taiyuan City,25768.36,12616.0,0.842,429.89,362.18,67.71,9332840.26,854202.87,10187043.13,0.916 ,0.842 ,0.084 ,0.084 ,0.158 ,(0.630),0.023919509
25,2015,3,Taiyuan City,27726.76,13626.0,0.844,431.87,364.51,67.35,10106775.52,917766.97,11024542.49,0.917 ,0.844 ,0.083 ,0.083 ,0.156 ,(0.628),0.023497001
26,2016,3,Taiyuan City,29632.14,14591.0,0.845,434.44,367.32,67.12,10884457.96,979400.45,11863858.41,0.917 ,0.845 ,0.082 ,0.083 ,0.155 ,(0.627),0.023186983
27,2017,3,Taiyuan City,31469.34,15595.0,0.847,437.97,370.97,67.0,11674116.52,1044896.19,12719012.71,0.918 ,0.847 ,0.080 ,0.082 ,0.153 ,(0.622),0.022634686
28,2018,3,Taiyuan City,33672.19,16860.0,0.849,442.15,375.27,66.87,12636243.25,1127485.52,13763728.77,0.918 ,0.849 ,0.079 ,0.082 ,0.151 ,(0.613),0.021855466
29,2019,3,Taiyuan City,36361.8,18377.0,0.852,446.19,380.35,65.83,13830344.83,1209827.74,15040172.58,0.920 ,0.852 ,0.076 ,0.080 ,0.148 ,(0.607),0.02088434
30,2010,4,Datong City,14418.51,4112.0,0.549,332.09,182.37,149.73,2629445.57,615676.6,3245122.17,0.810 ,0.549 ,0.389 ,0.190 ,0.451 ,(0.866),0.150990857
31,2011,4,Datong City,16936.74,4996.0,0.565,333.97,188.66,145.31,3195304.85,725979.25,3921284.1,0.815 ,0.565 ,0.366 ,0.185 ,0.435 ,(0.854),0.140346143
32,2012,4,Datong City,19360.91,5710.0,0.58,335.71,194.55,141.17,3766585.41,806053.86,4572639.28,0.824 ,0.580 ,0.352 ,0.176 ,0.420 ,(0.869),0.136419979
33,2013,4,Datong City,21316.36,6441.0,0.59,337.49,199.21,138.28,4246368.23,890674.36,5137042.59,0.827 ,0.590 ,0.337 ,0.173 ,0.410 ,(0.860),0.129272095
34,2014,4,Datong City,23042.99,7137.0,0.6,339.19,203.66,135.53,4692955.21,967304.73,5660259.94,0.829 ,0.600 ,0.323 ,0.171 ,0.400 ,(0.849),0.122411001
35,2015,4,Datong City,24771.21,7708.0,0.61,340.64,207.86,132.78,5148965.93,1023445.89,6172411.82,0.834 ,0.610 ,0.313 ,0.166 ,0.390 ,(0.855),0.119087335
36,2016,4,Datong City,26272.84,8217.0,0.62,342.19,212.18,130.01,5574663.23,1068256.02,6642919.24,0.839 ,0.620 ,0.303 ,0.161 ,0.380 ,(0.860),0.115676634
37,2017,4,Datong City,27980.57,8862.0,0.629,344.24,216.66,127.58,6062145.47,1130611.3,7192756.77,0.843 ,0.629 ,0.292 ,0.157 ,0.371 ,(0.858),0.111281445
38,2018,4,Datong City,29911.23,9710.0,0.64,345.6,221.07,124.53,6612503.57,1209173.68,7821677.25,0.845 ,0.640 ,0.279 ,0.155 ,0.360 ,(0.846),0.104931989
39,2019,4,Datong City,32251.98,10725.0,0.656,346.3,227.23,119.07,7328752.25,1277002.16,8605754.41,0.852 ,0.656 ,0.261 ,0.148 ,0.344 ,(0.840),0.097327268
40,2010,5,Yangquan City,16551.36,6572.0,0.6,136.92,82.16,54.76,1359932.95,359878.78,1719811.73,0.791 ,0.600 ,0.276 ,0.209 ,0.400 ,(0.648),0.082644795
41,2011,5,Yangquan City,19622.22,7691.0,0.616,137.42,84.67,52.76,1661354.39,405755.63,2067110.02,0.804 ,0.616 ,0.266 ,0.196 ,0.384 ,(0.671),0.081979548
42,2012,5,Yangquan City,21070.8,8699.0,0.63,137.93,86.95,50.98,1832076.91,443453.27,2275530.18,0.805 ,0.630 ,0.245 ,0.195 ,0.370 ,(0.640),0.072232367
43,2013,5,Yangquan City,23114.67,9760.0,0.64,138.6,88.72,49.89,2050685.16,486878.58,2537563.74,0.808 ,0.640 ,0.233 ,0.192 ,0.360 ,(0.629),0.067697293
44,2014,5,Yangquan City,24825.16,10742.0,0.65,139.27,90.47,48.8,2245837.69,524222.49,2770060.18,0.811 ,0.650 ,0.222 ,0.189 ,0.350 ,(0.616),0.063098494
45,2015,5,Yangquan City,26413.97,11494.0,0.659,139.83,92.09,47.74,2432507.2,548684.48,2981191.68,0.816 ,0.659 ,0.214 ,0.184 ,0.341 ,(0.618),0.0610888
46,2016,5,Yangquan City,27801.23,12172.0,0.667,140.36,93.58,46.77,2601764.16,569333.13,3171097.28,0.820 ,0.667 ,0.207 ,0.180 ,0.333 ,(0.618),0.059159005
47,2017,5,Yangquan City,29580.51,12963.0,0.676,140.88,95.18,45.7,2815608.83,592368.91,3407977.75,0.826 ,0.676 ,0.201 ,0.174 ,0.324 ,(0.624),0.05775742
48,2018,5,Yangquan City,31473.66,14078.0,0.685,141.44,96.86,44.57,3048658.37,627487.43,3676145.8,0.829 ,0.685 ,0.191 ,0.171 ,0.315 ,(0.613),0.054050317
49,2019,5,Yangquan City,33582.4,15390.0,0.695,141.75,98.48,43.27,3307311.89,665900.68,3973212.56,0.832 ,0.695 ,0.181 ,0.168 ,0.305 ,(0.600),0.049976396
50,2010,6,Changzhi City,15675.32,6032.0,0.418,333.73,139.62,194.11,2188630.12,1170858.25,3359488.37,0.651 ,0.418 ,0.443 ,0.349 ,0.582 ,(0.512),0.110034845
51,2011,6,Changzhi City,18429.34,7177.0,0.434,335.36,145.65,189.72,2684199.81,1361584.56,4045784.37,0.663 ,0.434 ,0.424 ,0.337 ,0.566 ,(0.519),0.106345221
52,2012,6,Changzhi City,20639.1,8218.0,0.453,336.97,152.69,184.28,3151382.53,1514385.92,4665768.45,0.675 ,0.453 ,0.399 ,0.325 ,0.547 ,(0.522),0.100276287
53,2013,6,Changzhi City,22682.37,9229.0,0.469,338.78,158.78,179.99,3601613.93,1661133.25,5262747.18,0.684 ,0.469 ,0.379 ,0.316 ,0.531 ,(0.521),0.094681491
54,2014,6,Changzhi City,24565.01,10311.0,0.485,340.44,164.98,175.46,4052725.68,1809207.24,5861932.92,0.691 ,0.485 ,0.355 ,0.309 ,0.515 ,(0.513),0.087406207
55,2015,6,Changzhi City,26407.39,11095.0,0.5,342.04,171.09,170.95,4518066.2,1896720.21,6414786.41,0.704 ,0.500 ,0.342 ,0.296 ,0.500 ,(0.525),0.085823136
56,2016,6,Changzhi City,28093.76,11863.0,0.515,343.54,177.03,166.51,4973424.72,1975290.34,6948715.06,0.716 ,0.515 ,0.329 ,0.284 ,0.485 ,(0.534),0.083460081
57,2017,6,Changzhi City,30060.33,12705.0,0.529,345.49,182.86,162.64,5496798.11,2066285.3,7563083.41,0.727 ,0.529 ,0.317 ,0.273 ,0.471 ,(0.544),0.081860168
58,2018,6,Changzhi City,32023.97,13818.0,0.54,346.82,187.16,159.66,5993558.59,2206216.43,8199775.02,0.731 ,0.540 ,0.303 ,0.269 ,0.460 ,(0.537),0.077284758
59,2019,6,Changzhi City,34426.29,15151.0,0.549,347.81,190.88,156.93,6571194.24,2377661.58,8948855.82,0.734 ,0.549 ,0.291 ,0.266 ,0.451 ,(0.530),0.073120977
60,2010,7,Jincheng City,16186.9,5970.0,0.51,228.03,116.39,111.64,1884071.23,666470.5,2550541.74,0.739 ,0.510 ,0.370 ,0.261 ,0.490 ,(0.628),0.108984111
61,2011,7,Jincheng City,18774.53,7129.0,0.527,228.55,120.56,107.99,2263483.27,769869.26,3033352.53,0.746 ,0.527 ,0.347 ,0.254 ,0.473 ,(0.621),0.101080091
62,2012,7,Jincheng City,21024.05,8134.0,0.545,229.14,124.84,104.3,2624619.65,848410.36,3473030.01,0.756 ,0.545 ,0.327 ,0.244 ,0.455 ,(0.622),0.09525429
63,2013,7,Jincheng City,23126.46,9135.0,0.555,230.06,127.72,102.33,2953813.01,934807.39,3888620.39,0.760 ,0.555 ,0.313 ,0.240 ,0.445 ,(0.615),0.0901994
64,2014,7,Jincheng City,24907.2,10087.0,0.565,230.89,130.43,100.47,3248623.1,1013395.5,4262018.6,0.762 ,0.565 ,0.300 ,0.238 ,0.435 ,(0.604),0.084694132
65,2015,7,Jincheng City,26650.7,10914.0,0.574,231.5,132.93,98.57,3542608.16,1075796.25,4618404.41,0.767 ,0.574 ,0.290 ,0.233 ,0.426 ,(0.603),0.081622026
66,2016,7,Jincheng City,28223.09,11635.0,0.583,232.09,135.4,96.68,3821527.81,1124889.25,4946417.06,0.773 ,0.583 ,0.281 ,0.227 ,0.417 ,(0.605),0.079311266
67,2017,7,Jincheng City,30142.26,12511.0,0.59,233.3,137.74,95.56,4151773.88,1195603.71,5347377.59,0.776 ,0.590 ,0.274 ,0.224 ,0.410 ,(0.605),0.077302387
68,2018,7,Jincheng City,32161.79,13566.0,0.599,234.31,140.32,94.0,4512788.29,1275141.6,5787929.89,0.780 ,0.599 ,0.264 ,0.220 ,0.401 ,(0.599),0.07372202
69,2019,7,Jincheng City,34626.55,14809.0,0.608,235.3,143.05,92.25,4953297.23,1366146.54,6319443.77,0.784 ,0.608 ,0.254 ,0.216 ,0.392 ,(0.595),0.070475049
70,2010,8,Shuozhou,16349.45,5974.0,0.463,171.64,79.44,92.21,1298725.17,550842.83,1849567.99,0.702 ,0.463 ,0.417 ,0.298 ,0.537 ,(0.590),0.117057487
71,2011,8,Shuozhou,18890.56,7108.0,0.479,172.56,82.61,89.96,1560456.81,639411.51,2199868.32,0.709 ,0.479 ,0.393 ,0.291 ,0.521 ,(0.584),0.109162354
72,2012,8,Shuozhou,21734.27,8097.0,0.5,173.5,86.78,86.71,1886165.26,702120.02,2588285.28,0.729 ,0.500 ,0.376 ,0.271 ,0.500 ,(0.611),0.108447925
73,2013,8,Shuozhou,23885.96,9149.0,0.511,174.42,89.1,85.31,2128287.17,780546.02,2908833.19,0.732 ,0.511 ,0.359 ,0.268 ,0.489 ,(0.600),0.101723975
74,2014,8,Shuozhou,25725.18,10137.0,0.521,175.39,91.46,83.93,2352838.13,850836.93,3203675.06,0.734 ,0.521 ,0.342 ,0.266 ,0.479 ,(0.589),0.095122784
75,2015,8,Shuozhou,27500.22,10816.0,0.532,176.22,93.67,82.55,2576036.45,892852.15,3468888.6,0.743 ,0.532 ,0.334 ,0.257 ,0.468 ,(0.599),0.09416529
76,2016,8,Shuozhou,28989.08,11478.0,0.542,176.81,95.84,80.97,2778331.11,929370.22,3707701.32,0.749 ,0.542 ,0.324 ,0.251 ,0.458 ,(0.603),0.091596622
77,2017,8,Shuozhou,30989.33,12305.0,0.553,177.6,98.2,79.4,3043204.86,976971.47,4020176.33,0.757 ,0.553 ,0.314 ,0.243 ,0.447 ,(0.610),0.089624847
78,2018,8,Shuozhou,32848.69,13423.0,0.563,178.12,100.3,77.83,3294621.72,1044644.98,4339266.7,0.759 ,0.563 ,0.299 ,0.241 ,0.437 ,(0.596),0.08346892
79,2019,8,Shuozhou,35100.02,14717.0,0.575,178.45,102.62,75.83,3602069.06,1115945.96,4718015.02,0.763 ,0.575 ,0.283 ,0.237 ,0.425 ,(0.586),0.077776274
80,2010,9,Jinzhong,16319.07,5879.0,0.441,325.2,143.49,181.71,2341667.99,1068278.97,3409946.96,0.687 ,0.441 ,0.442 ,0.313 ,0.559 ,(0.579),0.122488551
81,2011,9,Jinzhong,18946.62,6996.0,0.457,327.0,149.57,177.43,2833859.9,1241312.87,4075172.77,0.695 ,0.457 ,0.419 ,0.305 ,0.543 ,(0.577),0.115452367
82,2012,9,Jinzhong,21463.71,8032.0,0.474,328.68,155.82,172.86,3344383.3,1388440.44,4732823.73,0.707 ,0.474 ,0.399 ,0.293 ,0.526 ,(0.584),0.110812524
83,2013,9,Jinzhong,23588.62,9100.0,0.489,330.49,161.52,168.97,3810121.08,1537597.88,5347718.96,0.712 ,0.489 ,0.377 ,0.288 ,0.511 ,(0.576),0.103053114
84,2014,9,Jinzhong,25652.15,10100.0,0.505,332.03,167.52,164.51,4297315.17,1661532.82,5958847.99,0.721 ,0.505 ,0.357 ,0.279 ,0.495 ,(0.575),0.097323262
85,2015,9,Jinzhong,27524.76,10877.0,0.517,333.57,172.53,161.03,4748981.52,1751572.26,6500553.78,0.731 ,0.517 ,0.345 ,0.269 ,0.483 ,(0.583),0.09512756
86,2016,9,Jinzhong,29148.72,11525.0,0.529,334.87,177.24,157.63,5166409.44,1816693.82,6983103.25,0.740 ,0.529 ,0.335 ,0.260 ,0.471 ,(0.593),0.093519588
87,2017,9,Jinzhong,30926.79,12297.0,0.541,336.56,182.2,154.36,5634830.5,1898173.53,7533004.03,0.748 ,0.541 ,0.323 ,0.252 ,0.459 ,(0.599),0.090955367
88,2018,9,Jinzhong,32947.04,13394.0,0.554,338.16,187.25,150.91,6169316.48,2021263.09,8190579.57,0.753 ,0.554 ,0.308 ,0.247 ,0.446 ,(0.592),0.085549062
89,2019,9,Jinzhong,35187.44,14720.0,0.568,338.95,192.67,146.28,6779559.99,2153219.52,8932779.51,0.759 ,0.568 ,0.289 ,0.241 ,0.432 ,(0.582),0.078986016
90,2010,10,Yuncheng,14031.96,4741.0,0.376,513.92,193.05,320.87,2708866.12,1521254.63,4230120.75,0.640 ,0.376 ,0.533 ,0.360 ,0.624 ,(0.552),0.14319833
91,2011,10,Yuncheng,16278.83,5690.0,0.395,516.68,204.14,312.54,3323137.3,1778341.79,5101479.08,0.651 ,0.395 ,0.500 ,0.349 ,0.605 ,(0.551),0.133571236
92,2012,10,Yuncheng,18452.08,6458.0,0.414,519.46,215.12,304.34,3969332.01,1965450.32,5934782.34,0.669 ,0.414 ,0.479 ,0.331 ,0.586 ,(0.570),0.131693406
93,2013,10,Yuncheng,20408.0,7285.0,0.431,522.39,224.93,297.47,4590283.69,2167041.27,6757324.95,0.679 ,0.431 ,0.456 ,0.321 ,0.569 ,(0.574),0.125611557
94,2014,10,Yuncheng,22226.35,8125.0,0.444,525.23,233.45,291.78,5188664.27,2370706.81,7559371.08,0.686 ,0.444 ,0.435 ,0.314 ,0.556 ,(0.572),0.118965914
95,2015,10,Yuncheng,24048.91,8718.0,0.461,527.53,243.32,284.21,5851627.38,2477736.68,8329364.06,0.703 ,0.461 ,0.421 ,0.297 ,0.539 ,(0.594),0.118912557
96,2016,10,Yuncheng,25636.14,9365.0,0.476,530.52,252.78,277.74,6480324.49,2601007.01,9081331.5,0.714 ,0.476 ,0.404 ,0.286 ,0.524 ,(0.603),0.115456338
97,2017,10,Yuncheng,27302.49,9992.0,0.489,533.6,261.17,272.43,7130526.12,2722167.52,9852693.64,0.724 ,0.489 ,0.391 ,0.276 ,0.511 ,(0.614),0.113407159
98,2018,10,Yuncheng,29104.46,10916.0,0.502,535.97,269.03,266.94,7829971.71,2913864.64,10743836.36,0.729 ,0.502 ,0.373 ,0.271 ,0.498 ,(0.608),0.106905125
99,2019,10,Yuncheng,31240.62,11997.0,0.512,537.26,275.27,261.99,8599535.39,3143127.62,11742663.01,0.732 ,0.512 ,0.357 ,0.268 ,0.488 ,(0.600),0.101044014
100,2010,11,Xinzhou,13957.57,3487.0,0.379,306.99,116.22,190.77,1622159.46,665201.74,2287361.2,0.709 ,0.379 ,0.628 ,0.291 ,0.621 ,(0.759),0.224316729
101,2011,11,Xinzhou,16041.31,4185.0,0.398,308.5,122.78,185.72,1969617.96,777237.36,2746855.33,0.717 ,0.398 ,0.589 ,0.283 ,0.602 ,(0.755),0.208493869
102,2012,11,Xinzhou,18212.92,4834.0,0.414,309.93,128.41,181.52,2338770.34,877463.33,3216233.67,0.727 ,0.414 ,0.563 ,0.273 ,0.586 ,(0.764),0.200628954
103,2013,11,Xinzhou,20016.0,5491.0,0.43,311.44,134.04,177.4,2683032.71,974075.95,3657108.66,0.734 ,0.430 ,0.533 ,0.266 ,0.570 ,(0.760),0.18880398
104,2014,11,Xinzhou,21734.57,6104.0,0.447,312.85,139.72,173.13,3036709.0,1056773.92,4093482.93,0.742 ,0.447 ,0.507 ,0.258 ,0.553 ,(0.762),0.179610874
105,2015,11,Xinzhou,23451.61,6550.0,0.463,314.13,145.48,168.65,3411699.64,1104683.7,4516383.34,0.755 ,0.463 ,0.489 ,0.245 ,0.537 ,(0.786),0.177312138
106,2016,11,Xinzhou,24987.22,7025.0,0.479,315.53,151.14,164.39,3776562.86,1154849.59,4931412.44,0.766 ,0.479 ,0.469 ,0.234 ,0.521 ,(0.800),0.17208979
107,2017,11,Xinzhou,26536.42,7588.0,0.494,316.67,156.58,160.09,4154948.48,1214769.75,5369718.23,0.774 ,0.494 ,0.448 ,0.226 ,0.506 ,(0.804),0.164612112
108,2018,11,Xinzhou,28340.9,8302.0,0.51,317.2,161.63,155.57,4580598.03,1291576.18,5872174.2,0.780 ,0.510 ,0.426 ,0.220 ,0.490 ,(0.802),0.155800494
109,2019,11,Xinzhou,30375.11,9183.0,0.528,317.29,167.5,149.78,5087948.62,1375448.11,6463396.72,0.787 ,0.528 ,0.400 ,0.213 ,0.472 ,(0.797),0.144943331
110,2010,12,Linfen City,14879.99,5351.0,0.408,432.07,176.2,255.87,2621779.91,1369161.98,3990941.89,0.657 ,0.408 ,0.477 ,0.343 ,0.592 ,(0.546),0.125944928
111,2011,12,Linfen City,17441.59,6158.0,0.424,434.5,184.18,250.31,3212466.97,1541435.46,4753902.43,0.676 ,0.424 ,0.466 ,0.324 ,0.576 ,(0.575),0.128754509
112,2012,12,Linfen City,19782.66,6983.0,0.441,436.73,192.49,244.24,3807877.76,1705530.01,5513407.77,0.691 ,0.441 ,0.449 ,0.309 ,0.559 ,(0.592),0.127046987
113,2013,12,Linfen City,21820.28,7862.0,0.457,439.08,200.53,238.55,4375602.75,1875515.48,6251118.23,0.700 ,0.457 ,0.427 ,0.300 ,0.543 ,(0.594),0.120745107
114,2014,12,Linfen City,23609.54,8755.0,0.471,441.46,208.1,233.36,4913232.64,2043030.9,6956263.54,0.706 ,0.471 ,0.404 ,0.294 ,0.529 ,(0.588),0.112984989
115,2015,12,Linfen City,25498.3,9376.0,0.486,443.57,215.66,227.91,5498956.43,2136842.91,7635799.33,0.720 ,0.486 ,0.393 ,0.280 ,0.514 ,(0.608),0.112880329
116,2016,12,Linfen City,27085.32,10005.0,0.5,445.8,223.05,222.76,6041339.47,2228676.78,8270016.25,0.731 ,0.500 ,0.378 ,0.269 ,0.500 ,(0.617),0.110095492
117,2017,12,Linfen City,28872.95,10742.0,0.514,448.15,230.34,217.82,6650465.05,2339803.1,8990268.16,0.740 ,0.514 ,0.364 ,0.260 ,0.486 ,(0.625),0.106813401
118,2018,12,Linfen City,30691.94,11630.0,0.525,450.03,236.44,213.58,7256904.61,2483971.45,9740876.06,0.745 ,0.525 ,0.349 ,0.255 ,0.475 ,(0.621),0.101760219
119,2019,12,Linfen City,32894.9,12809.0,0.536,450.84,241.47,209.37,7943085.12,2681821.61,10624906.73,0.748 ,0.536 ,0.333 ,0.252 ,0.464 ,(0.610),0.095406561
120,2010,13,Luliang City,13901.09,3937.0,0.379,373.05,141.44,231.61,1966151.04,911845.81,2877996.86,0.683 ,0.379 ,0.589 ,0.317 ,0.621 ,(0.673),0.189123661
121,2011,13,Luliang City,15856.89,4801.0,0.398,375.18,149.47,225.71,2370180.7,1083640.43,3453821.13,0.686 ,0.398 ,0.544 ,0.314 ,0.602 ,(0.651),0.168922395
122,2012,13,Luliang City,18202.91,5429.0,0.416,377.16,156.94,220.22,2856708.54,1195578.18,4052286.72,0.705 ,0.416 ,0.527 ,0.295 ,0.584 ,(0.683),0.170263373
123,2013,13,Luliang City,20005.0,6140.0,0.431,379.29,163.52,215.76,3271301.62,1324779.29,4596080.92,0.712 ,0.431 ,0.501 ,0.288 ,0.569 ,(0.680),0.160856222
124,2014,13,Luliang City,21485.37,6754.0,0.447,381.31,170.35,210.97,3659959.73,1424869.09,5084828.82,0.720 ,0.447 ,0.477 ,0.280 ,0.553 ,(0.680),0.152696273
125,2015,13,Luliang City,22903.4,7193.0,0.462,383.22,177.21,206.01,4058769.56,1481838.56,5540608.12,0.733 ,0.462 ,0.460 ,0.267 ,0.538 ,(0.698),0.150289802
126,2016,13,Luliang City,24180.5,7644.0,0.477,385.49,184.06,201.43,4450589.97,1539731.68,5990321.65,0.743 ,0.477 ,0.442 ,0.257 ,0.523 ,(0.709),0.146143952
127,2017,13,Luliang City,25703.87,8232.0,0.493,387.89,191.04,196.85,4910374.72,1620475.79,6530850.51,0.752 ,0.493 ,0.423 ,0.248 ,0.507 ,(0.716),0.140543944
128,2018,13,Luliang City,27323.21,9034.0,0.506,388.56,196.56,192.0,5370563.4,1734558.72,7105122.11,0.756 ,0.506 ,0.402 ,0.244 ,0.494 ,(0.705),0.131427051
129,2019,13,Luliang City,29181.19,9963.0,0.517,389.09,201.22,187.87,5871868.62,1871727.89,7743596.51,0.758 ,0.517 ,0.383 ,0.242 ,0.483 ,(0.692),0.122954779
130,2010,14,Nanjing,27383.0,11128.0,0.779,800.47,623.82,176.65,17082063.06,1965761.2,19047824.26,0.897 ,0.779 ,0.140 ,0.103 ,0.221 ,(0.760),0.047484801
131,2011,14,Nanjing,31100.0,13108.0,0.797,810.91,646.54,164.37,20107394.0,2154561.96,22261955.96,0.903 ,0.797 ,0.125 ,0.097 ,0.203 ,(0.739),0.041111991
132,2012,14,Nanjing,35092.0,14786.0,0.802,816.1,655.0,161.1,22985260.0,2382024.6,25367284.6,0.906 ,0.803 ,0.121 ,0.094 ,0.197 ,(0.743),0.040136164
133,2013,14,Nanjing,38531.0,16531.0,0.805,818.78,659.12,159.66,25396552.72,2639339.46,28035892.18,0.906 ,0.805 ,0.118 ,0.094 ,0.195 ,(0.728),0.038372795
134,2014,14,Nanjing,42568.0,17661.0,0.809,821.61,664.85,156.76,28301334.8,2768538.36,31069873.16,0.911 ,0.809 ,0.118 ,0.089 ,0.191 ,(0.761),0.039983497
135,2015,14,Nanjing,46104.0,19483.0,0.814,823.59,670.4,153.19,30908121.6,2984600.77,33892722.37,0.912 ,0.814 ,0.114 ,0.088 ,0.186 ,(0.748),0.037765628
136,2016,14,Nanjing,49997.0,21156.0,0.82,827.0,678.14,148.86,33904965.58,3149282.16,37054247.74,0.915 ,0.820 ,0.110 ,0.085 ,0.180 ,(0.750),0.036533706
137,2017,14,Nanjing,54538.0,23133.0,0.823,833.5,685.89,147.61,37407068.82,3414662.13,40821730.95,0.916 ,0.823 ,0.108 ,0.084 ,0.177 ,(0.750),0.035821778
138,2018,14,Nanjing,59308.0,25263.0,0.825,843.6,696.0,147.6,41278368.0,3728818.8,45007186.8,0.917 ,0.825 ,0.106 ,0.083 ,0.175 ,(0.748),0.035141229
139,2019,14,Nanjing,64372.0,27636.0,0.832,850.0,707.2,142.8,45523878.4,3946420.8,49470299.2,0.920 ,0.832 ,0.101 ,0.080 ,0.168 ,(0.745),0.033334081
